restaurant_id,restaurant_name,city,cuisine_type,partner_type,avg_prep_time_min,is_active
REST15674,Tandoori Tandoor Adda,Mumbai,Pizza,Restaurant,<=15,Y
REST05846,Kolkata House Palace,Ahmedabad,North Indian,Restaurant,16-25,Y
REST02134,Tandoori Biryani Palace,Kolkata,Fast Food,Restaurant,<=15,Y
REST19821,Classic Kitchen Point,Kolkata,Fast Food,Restaurant,26-40,N
REST18077,Hot & Crispy Biryani Adda,Bengaluru,Chinese,Restaurant,16-25,Y
REST05332,Punjabi Mess Clouds,Ahmedabad,North Indian,Cloud Kitchen,26-40,Y
REST17055,Taste of House Palace,Pune,Fast Food,Restaurant,>40,N
REST19428,Grand Paratha Central,Bengaluru,South Indian,Restaurant,26-40,Y
REST00617,Kolkata Delights Corner,Delhi,Pizza,Restaurant,>40,N
REST11164,Grand Delights Zone,Kolkata,North Indian,Restaurant,26-40,Y
REST11743,Namma Pizza Darbar,Delhi,Fast Food,Cloud Kitchen,>40,N
REST02780,Sri House Hub,Chennai,South Indian,Restaurant,26-40,Y
REST10211,Bombay House Corner,Kolkata,Pizza,Restaurant,<=15,Y
REST16919,Royal Paratha Point,Ahmedabad,South Indian,Restaurant,<=15,Y
REST03730,Taste of Grill Central,Delhi,Desserts,Cloud Kitchen,16-25,Y
REST03446,Namma Cafe Stop,Bengaluru,Desserts,Restaurant,16-25,Y
REST12616,Delhi Kitchen Darbar,Delhi,Desserts,Restaurant,16-25,Y
REST12873,Spicy Grill Palace,Delhi,Fast Food,Cloud Kitchen,>40,Y
REST16740,Madras Biryani Darbar,Delhi,Chinese,Cloud Kitchen,>40,Y
REST03622,Delhi Mess Point,Ahmedabad,Fast Food,Restaurant,26-40,Y
REST18299,Namma Paratha Central,Bengaluru,North Indian,Cloud Kitchen,16-25,Y
REST02799,Grand Cafe Clouds,Delhi,Pizza,Restaurant,<=15,Y
REST02138,Bombay Tandoor Bhojanalay,Mumbai,North Indian,Restaurant,16-25,Y
REST03176,Hot & Crispy Express Darbar,Hyderabad,Desserts,Restaurant,16-25,Y
REST10055,Delhi Mess Bhojanalay,Bengaluru,Biryani,Cloud Kitchen,16-25,Y
REST18615,Flavours of Delights Bhojanalay,Bengaluru,Desserts,Cloud Kitchen,16-25,Y
REST17572,Fresh Grill Central,Chennai,North Indian,Restaurant,16-25,N
REST07850,Tandoori Darshini Clouds,Bengaluru,Fast Food,Cloud Kitchen,16-25,Y
REST17028,Tandoori Cafe Central,Hyderabad,North Indian,Cloud Kitchen,16-25,N
REST09824,Madras Kitchen Zone,Bengaluru,Biryani,Restaurant,<=15,Y
REST00532,Taste of Curry Stop,Delhi,Fast Food,Restaurant,26-40,Y
REST19360,Tandoori Cafe Corner,Mumbai,Biryani,Restaurant,<=15,Y
REST19897,Flavours of House Bhojanalay,Bengaluru,Chinese,Cloud Kitchen,16-25,N
REST05296,Sri Cafe Stop,Bengaluru,North Indian,Restaurant,16-25,Y
REST15289,Classic Thali Cafe,Delhi,North Indian,Cloud Kitchen,16-25,Y
REST15617,Thindi Mane Kitchen Adda,Bengaluru,Biryani,Restaurant,<=15,Y
REST15207,Madras Sweets Clouds,Bengaluru,Pizza,Restaurant,<=15,Y
REST01696,Taste of Darshini Point,Bengaluru,Desserts,Restaurant,16-25,Y
REST14773,Fresh Wraps Cafe,Hyderabad,Chinese,Restaurant,<=15,Y
REST09335,Classic Biryani Mahal,Kolkata,Pizza,Restaurant,16-25,N
REST08536,Royal House Cafe,Mumbai,South Indian,Restaurant,16-25,Y
REST00234,Royal House Clouds,Bengaluru,Healthy,Cloud Kitchen,>40,Y
REST12114,Spicy Biryani Cafe,Kolkata,South Indian,Restaurant,16-25,Y
REST01931,Taste of Cafe Central,Mumbai,Healthy,Cloud Kitchen,16-25,Y
REST13684,Tandoori Biryani Bhojanalay,Mumbai,North Indian,Restaurant,16-25,Y
REST13925,Punjabi Mess Clouds,Mumbai,South Indian,Restaurant,16-25,N
REST08774,Bombay Wraps Bhojanalay,Ahmedabad,Chinese,Restaurant,16-25,Y
REST13131,Hot & Crispy Tandoor Zone,Mumbai,Chinese,Restaurant,<=15,Y
REST01765,Annapurna Cafe Delight,Ahmedabad,North Indian,Restaurant,16-25,Y
REST11047,Namma Tandoor Palace,Ahmedabad,Pizza,Restaurant,<=15,Y
REST15708,Taste of Mess Cafe,Bengaluru,Desserts,Cloud Kitchen,16-25,Y
REST01627,Flavours of Thali Nest,Bengaluru,North Indian,Restaurant,16-25,N
REST07188,Bombay Pizza Nest,Delhi,South Indian,Cloud Kitchen,16-25,Y
REST03932,Fresh Mess Corner,Mumbai,Desserts,Restaurant,16-25,Y
REST11261,Bombay Tandoor Adda,Bengaluru,Pizza,Restaurant,16-25,Y
REST14408,Madras Thali Clouds,Hyderabad,Fast Food,Cloud Kitchen,16-25,Y
REST02744,Flavours of Grill Heaven,Bengaluru,Desserts,Restaurant,<=15,Y
REST04195,Delhi Biryani Bhojanalay,Ahmedabad,Healthy,Cloud Kitchen,<=15,N
REST00341,Royal Biryani Darbar,Chennai,North Indian,Restaurant,16-25,Y
REST00488,Thindi Mane House Adda,Bengaluru,South Indian,Cloud Kitchen,<=15,Y
REST13448,Namma Express Stop,Hyderabad,Biryani,Restaurant,>40,Y
REST04267,Taste of Paratha Stop,Mumbai,South Indian,Restaurant,<=15,Y
REST13279,Namma Express Point,Chennai,North Indian,Cloud Kitchen,26-40,Y
REST19787,Madras Wraps Nest,Mumbai,Chinese,Restaurant,26-40,Y
REST01206,Taste of Cafe Delight,Bengaluru,Biryani,Cloud Kitchen,<=15,N
REST00655,Spicy Wraps Mahal,Bengaluru,Fast Food,Restaurant,16-25,Y
REST15489,Annapurna Sweets Adda,Delhi,Chinese,Restaurant,26-40,Y
REST07298,Urban Grill Delight,Ahmedabad,South Indian,Cloud Kitchen,>40,Y
REST08940,Spicy Paratha Heaven,Mumbai,North Indian,Restaurant,16-25,Y
REST17592,Bombay Delights Corner,Delhi,Biryani,Cloud Kitchen,16-25,Y
REST03377,Fresh Thali Adda,Mumbai,Desserts,Cloud Kitchen,16-25,Y
REST15228,Sri Mess Central,Hyderabad,South Indian,Restaurant,26-40,Y
REST16384,Hot & Crispy Grill Hub,Chennai,Desserts,Restaurant,16-25,N
REST10562,Fresh Grill Cafe,Mumbai,Fast Food,Restaurant,<=15,Y
REST08408,Namma Delights Cafe,Bengaluru,Pizza,Restaurant,>40,Y
REST04715,Punjabi Tandoor Delight,Bengaluru,Chinese,Restaurant,26-40,Y
REST09707,Annapurna Paratha Cafe,Delhi,Biryani,Restaurant,<=15,Y
REST13221,Fresh Biryani Cafe,Kolkata,Biryani,Restaurant,16-25,Y
REST03725,Spicy Paratha Adda,Bengaluru,North Indian,Cloud Kitchen,26-40,Y
REST05770,Punjabi House Cafe,Bengaluru,Pizza,Restaurant,16-25,Y
REST10243,Sri Darshini Clouds,Kolkata,Chinese,Restaurant,16-25,Y
REST02485,Sri Biryani Mahal,Bengaluru,Fast Food,Cloud Kitchen,26-40,Y
REST19711,Namma Paratha Cafe,Delhi,Pizza,Restaurant,16-25,Y
REST07174,Taste of Wraps Central,Bengaluru,North Indian,Restaurant,16-25,N
REST04866,Namma Kitchen Palace,Bengaluru,Fast Food,Cloud Kitchen,26-40,Y
REST08892,Bombay Kitchen Bhojanalay,Bengaluru,South Indian,Cloud Kitchen,16-25,N
REST00142,Delhi Tandoor Delight,Mumbai,Fast Food,Cloud Kitchen,16-25,Y
REST07961,Sri Biryani Corner,Ahmedabad,Desserts,Restaurant,16-25,Y
REST16407,Thindi Mane Pizza Cafe,Pune,South Indian,Restaurant,26-40,Y
REST17061,Thindi Mane Cafe Point,Mumbai,Desserts,Cloud Kitchen,16-25,Y
REST13751,Urban Thali Clouds,Bengaluru,Chinese,Restaurant,26-40,Y
REST19769,Fresh House Corner,Pune,Pizza,Restaurant,16-25,Y
REST11694,Punjabi Wraps Bhojanalay,Kolkata,Pizza,Restaurant,<=15,Y
REST04215,Urban Kitchen Palace,Hyderabad,North Indian,Cloud Kitchen,<=15,Y
REST11086,Delhi Thali Point,Kolkata,North Indian,Restaurant,16-25,Y
REST03703,Flavours of Curry Darbar,Bengaluru,Pizza,Restaurant,16-25,Y
REST17863,Hot & Crispy Thali Clouds,Bengaluru,Desserts,Restaurant,>40,Y
REST09606,Fresh House Point,Kolkata,South Indian,Restaurant,26-40,Y
REST13407,Delhi Pizza Darbar,Hyderabad,South Indian,Restaurant,26-40,Y
REST07347,Delhi Grill Bhojanalay,Bengaluru,Biryani,Cloud Kitchen,>40,Y
REST08966,Delhi Thali Clouds,Mumbai,Chinese,Cloud Kitchen,<=15,Y
REST08861,Classic Darshini Central,Bengaluru,Pizza,Restaurant,>40,Y
REST14756,Hot & Crispy Tandoor Corner,Mumbai,Pizza,Cloud Kitchen,>40,Y
REST12429,Fresh Cafe Delight,Kolkata,South Indian,Restaurant,16-25,Y
REST16687,Hot & Crispy Mess Nest,Mumbai,Biryani,Restaurant,16-25,N
REST07309,Thindi Mane Darshini Point,Bengaluru,North Indian,Restaurant,16-25,Y
REST05482,Annapurna Curry Hub,Chennai,North Indian,Restaurant,26-40,Y
REST17039,Royal Darshini Central,Delhi,North Indian,Restaurant,>40,Y
REST00677,Punjabi Biryani Point,Chennai,Healthy,Restaurant,<=15,Y
REST07971,Namma Grill Hub,Bengaluru,Fast Food,Restaurant,16-25,Y
REST11012,Punjabi Thali Bhojanalay,Delhi,Pizza,Restaurant,16-25,Y
REST03713,Thindi Mane Thali Bhojanalay,Delhi,Chinese,Cloud Kitchen,26-40,Y
REST03459,Punjabi Kitchen Bhojanalay,Delhi,Chinese,Cloud Kitchen,<=15,Y
REST04583,Taste of Paratha Bhojanalay,Mumbai,Fast Food,Restaurant,16-25,Y
REST02552,Madras Sweets Corner,Bengaluru,South Indian,Restaurant,>40,Y
REST08193,Annapurna Kitchen Palace,Pune,Chinese,Cloud Kitchen,16-25,Y
REST09174,Fresh Grill Nest,Bengaluru,Desserts,Restaurant,26-40,N
REST01094,Tandoori Thali Darbar,Chennai,Biryani,Restaurant,26-40,Y
REST16553,Kolkata House Central,Bengaluru,North Indian,Restaurant,16-25,Y
REST04855,Hot & Crispy Thali Darbar,Bengaluru,North Indian,Restaurant,>40,Y
REST05740,Hot & Crispy Curry Mahal,Ahmedabad,Chinese,Restaurant,26-40,Y
REST08198,Spicy Express Delight,Bengaluru,North Indian,Cloud Kitchen,>40,Y
REST16020,Grand Curry Darbar,Bengaluru,Biryani,Restaurant,26-40,Y
REST04352,Madras House Stop,Kolkata,Chinese,Restaurant,<=15,Y
REST09910,Kolkata Kitchen Heaven,Mumbai,South Indian,Cloud Kitchen,26-40,Y
REST09052,Hot & Crispy Wraps Bhojanalay,Bengaluru,South Indian,Restaurant,16-25,Y
REST09600,Kolkata Pizza Heaven,Pune,Chinese,Cloud Kitchen,16-25,Y
REST03597,Thindi Mane Express Delight,Chennai,Chinese,Cloud Kitchen,16-25,Y
REST06022,Thindi Mane Curry Darbar,Bengaluru,Pizza,Restaurant,26-40,Y
REST19058,Madras Biryani Darbar,Mumbai,North Indian,Restaurant,<=15,Y
REST17634,Royal Kitchen Mahal,Chennai,Fast Food,Restaurant,16-25,Y
REST13162,Annapurna Pizza Cafe,Mumbai,Chinese,Cloud Kitchen,26-40,Y
REST04543,Fresh Thali Mahal,Chennai,Pizza,Cloud Kitchen,16-25,Y
REST19660,Bombay Darshini Mahal,Ahmedabad,Desserts,Cloud Kitchen,16-25,Y
REST17064,Delhi Pizza Nest,Delhi,North Indian,Restaurant,16-25,Y
REST08243,Annapurna Curry Darbar,Mumbai,Fast Food,Restaurant,<=15,Y
REST13530,Urban Cafe Delight,Mumbai,South Indian,Restaurant,16-25,Y
REST17035,Classic Grill Mahal,Bengaluru,Desserts,Restaurant,26-40,Y
REST16269,Namma Pizza Bhojanalay,Delhi,North Indian,Cloud Kitchen,16-25,Y
REST18025,Flavours of Kitchen Cafe,Ahmedabad,North Indian,Restaurant,16-25,Y
REST06049,Punjabi Curry Bhojanalay,Ahmedabad,Chinese,Restaurant,26-40,N
REST01355,Bombay Cafe Stop,Chennai,Fast Food,Restaurant,>40,Y
REST05497,Annapurna Mess Corner,Mumbai,Pizza,Restaurant,26-40,Y
REST15638,Sri Mess Nest,Bengaluru,North Indian,Restaurant,26-40,Y
REST18873,Royal Darshini Darbar,Delhi,Biryani,Restaurant,<=15,N
REST11927,Annapurna Delights Hub,Bengaluru,North Indian,Cloud Kitchen,16-25,Y
REST00833,Sri Paratha Nest,Chennai,Healthy,Cloud Kitchen,26-40,Y
REST01693,Sri Biryani Delight,Bengaluru,North Indian,Cloud Kitchen,<=15,Y
REST05722,Tandoori Cafe Darbar,Delhi,Biryani,Cloud Kitchen,16-25,Y
REST19847,Annapurna Wraps Zone,Mumbai,Chinese,Restaurant,16-25,Y
REST17741,Namma Darshini Darbar,Kolkata,Healthy,Cloud Kitchen,<=15,Y
REST05137,Flavours of Thali Cafe,Delhi,North Indian,Cloud Kitchen,16-25,Y
REST14649,Taste of Biryani Corner,Kolkata,North Indian,Cloud Kitchen,26-40,Y
REST18920,Tandoori House Adda,Bengaluru,Fast Food,Restaurant,<=15,Y
REST13516,Madras House Stop,Kolkata,Pizza,Restaurant,26-40,Y
REST09803,Bombay Darshini Palace,Chennai,South Indian,Cloud Kitchen,26-40,Y
REST05574,Flavours of Thali Delight,Pune,Fast Food,Cloud Kitchen,26-40,Y
REST17979,Kolkata Express Cafe,Mumbai,Biryani,Restaurant,16-25,Y
REST05194,Bombay Pizza Adda,Ahmedabad,South Indian,Restaurant,16-25,N
REST16776,Hot & Crispy Express Palace,Bengaluru,Desserts,Restaurant,<=15,Y
REST00498,Sri Cafe Heaven,Ahmedabad,North Indian,Restaurant,26-40,Y
REST14074,Annapurna Kitchen Nest,Chennai,Biryani,Cloud Kitchen,26-40,Y
REST07490,Madras Sweets Zone,Chennai,Fast Food,Restaurant,16-25,Y
REST15531,Delhi Wraps Stop,Chennai,Fast Food,Restaurant,16-25,Y
REST17946,Fresh Delights Bhojanalay,Pune,Healthy,Restaurant,16-25,Y
REST10572,Punjabi Biryani Nest,Bengaluru,Chinese,Restaurant,26-40,N
REST08961,Tandoori Sweets Zone,Bengaluru,Biryani,Restaurant,<=15,Y
REST04601,Sri Kitchen Mahal,Kolkata,Pizza,Cloud Kitchen,>40,Y
REST07288,Fresh Curry Nest,Ahmedabad,Fast Food,Restaurant,16-25,Y
REST00048,Hot & Crispy Paratha Delight,Kolkata,Chinese,Restaurant,26-40,Y
REST05288,Taste of Cafe Cafe,Mumbai,North Indian,Cloud Kitchen,16-25,Y
REST12479,Royal Cafe Hub,Pune,Pizza,Restaurant,<=15,Y
REST04933,Taste of Grill Adda,Mumbai,Healthy,Restaurant,>40,Y
REST17913,Fresh Pizza Stop,Mumbai,Chinese,Restaurant,26-40,Y
REST14281,Namma Cafe Palace,Bengaluru,Desserts,Cloud Kitchen,16-25,Y
REST08789,Tandoori Biryani Point,Bengaluru,North Indian,Cloud Kitchen,<=15,Y
REST18224,Fresh Darshini Central,Bengaluru,Desserts,Restaurant,26-40,Y
REST08018,Tandoori Sweets Point,Mumbai,Healthy,Restaurant,16-25,Y
REST07916,Thindi Mane House Zone,Pune,Chinese,Restaurant,>40,Y
REST07768,Annapurna Thali Darbar,Delhi,Biryani,Cloud Kitchen,16-25,Y
REST09462,Annapurna Paratha Stop,Pune,South Indian,Restaurant,26-40,N
REST17577,Classic Wraps Clouds,Bengaluru,Desserts,Restaurant,>40,Y
REST08685,Grand House Adda,Delhi,North Indian,Restaurant,<=15,Y
REST09809,Thindi Mane House Adda,Pune,Chinese,Restaurant,26-40,Y
REST00337,Hot & Crispy Curry Nest,Mumbai,Biryani,Restaurant,<=15,N
REST09681,Urban Express Nest,Kolkata,Fast Food,Restaurant,<=15,Y
REST03112,Tandoori Express Adda,Bengaluru,Desserts,Cloud Kitchen,16-25,Y
REST14438,Tandoori Cafe Adda,Chennai,Healthy,Restaurant,26-40,N
REST07013,Kolkata Darshini Central,Bengaluru,Fast Food,Cloud Kitchen,>40,Y
REST17448,Kolkata Kitchen Heaven,Delhi,Pizza,Restaurant,16-25,N
REST07998,Tandoori Darshini Palace,Bengaluru,North Indian,Restaurant,<=15,Y
REST09272,Spicy Delights Corner,Delhi,Desserts,Restaurant,<=15,Y
REST12101,Delhi Mess Central,Hyderabad,Pizza,Cloud Kitchen,16-25,Y
REST12431,Tandoori Kitchen Delight,Bengaluru,Chinese,Cloud Kitchen,26-40,Y
REST07226,Namma Darshini Hub,Chennai,North Indian,Restaurant,16-25,Y
REST07391,Spicy Biryani Palace,Bengaluru,North Indian,Cloud Kitchen,16-25,Y
REST09137,Bombay Thali Adda,Delhi,Biryani,Restaurant,16-25,Y
REST11536,Taste of Delights Delight,Delhi,South Indian,Cloud Kitchen,16-25,Y
REST17443,Delhi Cafe Adda,Chennai,Chinese,Restaurant,16-25,Y
REST11214,Spicy Pizza Zone,Bengaluru,Fast Food,Cloud Kitchen,26-40,Y
REST09097,Namma Express Zone,Delhi,North Indian,Cloud Kitchen,16-25,Y
REST10981,Kolkata Express Cafe,Bengaluru,Desserts,Restaurant,26-40,Y
REST10479,Sri House Heaven,Kolkata,North Indian,Restaurant,26-40,Y
REST06050,Classic Tandoor Hub,Delhi,North Indian,Cloud Kitchen,16-25,Y
REST07783,Taste of Kitchen Zone,Delhi,South Indian,Restaurant,16-25,Y
REST12024,Hot & Crispy Darshini Zone,Bengaluru,North Indian,Restaurant,16-25,Y
REST05153,Hot & Crispy Cafe Delight,Bengaluru,South Indian,Cloud Kitchen,26-40,Y
REST18099,Namma Curry Zone,Bengaluru,Desserts,Restaurant,<=15,Y
REST05529,Grand Kitchen Bhojanalay,Bengaluru,South Indian,Restaurant,16-25,Y
REST15009,Bombay Delights Zone,Bengaluru,Desserts,Cloud Kitchen,16-25,Y
REST10387,Sri Grill Adda,Pune,Healthy,Cloud Kitchen,<=15,Y
REST02604,Spicy Biryani Point,Chennai,North Indian,Restaurant,16-25,Y
REST15230,Delhi Delights Heaven,Mumbai,North Indian,Cloud Kitchen,26-40,Y
REST03717,Classic Tandoor Corner,Hyderabad,South Indian,Restaurant,<=15,Y
REST13234,Sri Express Point,Mumbai,Chinese,Cloud Kitchen,26-40,Y
REST02708,Tandoori Express Darbar,Pune,Desserts,Restaurant,16-25,Y
REST15990,Royal Curry Darbar,Chennai,North Indian,Restaurant,<=15,Y
REST11028,Delhi Pizza Central,Mumbai,North Indian,Cloud Kitchen,16-25,Y
REST03458,Urban Paratha Heaven,Kolkata,Fast Food,Restaurant,16-25,Y
REST05505,Grand Biryani Zone,Bengaluru,Chinese,Cloud Kitchen,<=15,Y
REST10651,Fresh Grill Point,Ahmedabad,South Indian,Restaurant,<=15,N
REST18784,Hot & Crispy Cafe Adda,Hyderabad,Biryani,Restaurant,26-40,Y
REST15114,Tandoori Express Heaven,Mumbai,North Indian,Restaurant,26-40,Y
REST17995,Royal House Stop,Bengaluru,Fast Food,Restaurant,26-40,Y
REST11602,Hot & Crispy Pizza Nest,Hyderabad,Biryani,Restaurant,26-40,Y
REST05055,Thindi Mane Mess Delight,Pune,South Indian,Cloud Kitchen,16-25,Y
REST13885,Taste of Kitchen Heaven,Chennai,North Indian,Restaurant,26-40,Y
REST02397,Grand Cafe Hub,Bengaluru,Chinese,Cloud Kitchen,16-25,Y
REST14193,Flavours of Pizza Point,Kolkata,Chinese,Restaurant,16-25,Y
REST17887,Annapurna Paratha Hub,Bengaluru,Pizza,Restaurant,26-40,Y
REST09698,Punjabi Sweets Stop,Chennai,Biryani,Restaurant,16-25,N
REST09632,Spicy Delights Darbar,Bengaluru,South Indian,Restaurant,>40,Y
REST04024,Tandoori Paratha Corner,Ahmedabad,North Indian,Cloud Kitchen,16-25,Y
REST07150,Spicy Paratha Zone,Delhi,Chinese,Restaurant,16-25,Y
REST15270,Sri Delights Point,Ahmedabad,South Indian,Restaurant,16-25,Y
REST00394,Madras Pizza Stop,Kolkata,Chinese,Restaurant,>40,Y
REST09864,Punjabi Biryani Heaven,Ahmedabad,North Indian,Cloud Kitchen,>40,Y
REST10858,Annapurna Wraps Heaven,Bengaluru,Biryani,Restaurant,16-25,Y
REST17750,Taste of Thali Corner,Pune,Pizza,Restaurant,16-25,Y
REST16236,Tandoori Mess Central,Chennai,Desserts,Cloud Kitchen,26-40,Y
REST02482,Sri Cafe Hub,Mumbai,Biryani,Restaurant,16-25,Y
REST18110,Annapurna Grill Hub,Bengaluru,Biryani,Restaurant,16-25,Y
REST03909,Taste of Delights Corner,Mumbai,Desserts,Cloud Kitchen,26-40,Y
REST13278,Spicy Curry Zone,Kolkata,Pizza,Restaurant,16-25,Y
REST15834,Spicy Tandoor Central,Bengaluru,Fast Food,Cloud Kitchen,<=15,Y
REST00876,Delhi Grill Mahal,Bengaluru,Pizza,Restaurant,16-25,Y
REST06891,Fresh Tandoor Delight,Mumbai,North Indian,Cloud Kitchen,26-40,Y
REST03958,Fresh Wraps Cafe,Kolkata,South Indian,Restaurant,16-25,Y
REST03157,Classic Sweets Heaven,Ahmedabad,Pizza,Restaurant,26-40,Y
REST10173,Annapurna Biryani Central,Bengaluru,Chinese,Cloud Kitchen,26-40,Y
REST18988,Punjabi Thali Zone,Bengaluru,Desserts,Restaurant,16-25,Y
REST02702,Urban Sweets Hub,Delhi,North Indian,Restaurant,<=15,Y
REST18465,Hot & Crispy Pizza Central,Ahmedabad,Chinese,Restaurant,16-25,Y
REST16294,Thindi Mane Mess Corner,Bengaluru,North Indian,Restaurant,26-40,Y
REST05658,Tandoori Paratha Darbar,Chennai,South Indian,Restaurant,16-25,Y
REST12330,Annapurna Delights Palace,Delhi,Biryani,Restaurant,>40,Y
REST13476,Classic Tandoor Zone,Delhi,Pizza,Restaurant,16-25,Y
REST01193,Punjabi Cafe Mahal,Bengaluru,North Indian,Restaurant,26-40,Y
REST17254,Classic Express Cafe,Chennai,North Indian,Cloud Kitchen,26-40,Y
REST12152,Tandoori Pizza Zone,Kolkata,Chinese,Restaurant,26-40,Y
REST18972,Delhi Express Cafe,Kolkata,South Indian,Restaurant,16-25,N
REST06191,Taste of Delights Central,Mumbai,Chinese,Cloud Kitchen,16-25,Y
REST03929,Delhi Cafe Central,Delhi,North Indian,Restaurant,<=15,Y
REST19462,Sri Darshini Bhojanalay,Chennai,South Indian,Restaurant,26-40,Y
REST15944,Classic Sweets Palace,Ahmedabad,Fast Food,Restaurant,26-40,Y
REST00653,Kolkata Kitchen Mahal,Pune,Biryani,Cloud Kitchen,26-40,Y
REST12044,Madras Cafe Heaven,Ahmedabad,Fast Food,Cloud Kitchen,26-40,N
REST17498,Flavours of Paratha Point,Delhi,Healthy,Restaurant,<=15,N
REST10213,Spicy Darshini Mahal,Kolkata,Fast Food,Cloud Kitchen,<=15,Y
REST06457,Thindi Mane Grill Darbar,Bengaluru,North Indian,Cloud Kitchen,16-25,Y
REST07911,Punjabi Delights Clouds,Kolkata,North Indian,Restaurant,16-25,Y
REST12379,Royal Cafe Nest,Chennai,Pizza,Restaurant,16-25,Y
REST09496,Hot & Crispy Wraps Cafe,Kolkata,Chinese,Restaurant,16-25,Y
REST06088,Fresh Kitchen Bhojanalay,Hyderabad,Fast Food,Restaurant,<=15,Y
REST18912,Royal Curry Clouds,Delhi,Biryani,Restaurant,<=15,Y
REST04905,Fresh Express Heaven,Mumbai,Desserts,Cloud Kitchen,16-25,Y
REST12320,Royal Biryani Nest,Delhi,Chinese,Cloud Kitchen,16-25,Y
REST13692,Urban Curry Zone,Bengaluru,Fast Food,Restaurant,<=15,Y
REST04560,Sri Cafe Hub,Ahmedabad,North Indian,Cloud Kitchen,26-40,Y
REST09399,Tandoori Wraps Adda,Chennai,South Indian,Restaurant,<=15,Y
REST19528,Taste of Curry Palace,Pune,North Indian,Cloud Kitchen,<=15,Y
REST11449,Madras Tandoor Bhojanalay,Delhi,Fast Food,Restaurant,26-40,Y
REST19379,Hot & Crispy Curry Nest,Kolkata,South Indian,Cloud Kitchen,16-25,Y
REST07674,Punjabi Sweets Cafe,Bengaluru,South Indian,Restaurant,16-25,Y
REST07159,Delhi Biryani Point,Ahmedabad,Pizza,Cloud Kitchen,<=15,Y
REST03026,Madras Sweets Nest,Delhi,Pizza,Restaurant,<=15,Y
REST14263,Royal House Heaven,Ahmedabad,Biryani,Restaurant,16-25,Y
REST17772,Taste of Paratha Clouds,Mumbai,South Indian,Restaurant,16-25,Y
REST18599,Tandoori Mess Cafe,Mumbai,Chinese,Cloud Kitchen,>40,Y
REST07912,Spicy Kitchen Mahal,Bengaluru,Biryani,Restaurant,16-25,Y
