order_id,actual_delivery_time_mins,expected_delivery_time_mins,distance_km
ORD202501023942,39,39,1.8
ORD202501020256,34,38,6.8
ORD202501022770,36,32,5.3
ORD202501011017,30,32,6.4
ORD202501010196,41,45,8.0
ORD202501015561,52,45,2.8
ORD202501020570,39,43,5.7
ORD202501017580,42,44,3.7
ORD202501023598,41,37,2.2
ORD202501005605,36,35,1.1
ORD202501015959,43,36,1.9
ORD202501001768,52,35,7.6
ORD202501001974,30,36,2.8
ORD202501003708,29,34,4.3
ORD202501003843,53,30,4.6
ORD202501024447,38,31,6.3
ORD202501014062,51,41,3.8
ORD202501014818,31,32,7.0
ORD202501022192,45,34,5.9
ORD202501014626,36,34,3.9
ORD202501021342,38,37,5.6
ORD202501000483,42,38,2.8
ORD202501014713,40,32,6.6
ORD202501021914,45,33,3.2
ORD202501000834,39,45,2.9
ORD202501009861,33,31,2.2
ORD202501001257,32,42,3.5
ORD202501001195,37,39,4.7
ORD202501006915,29,30,4.3
ORD202501005965,40,41,4.5
ORD202501023569,43,36,6.4
ORD202501008766,36,31,3.5
ORD202501013826,48,45,6.1
ORD202501023257,44,34,3.8
ORD202501016403,38,35,6.3
ORD202501015609,34,45,7.1
ORD202501004621,41,37,1.4
ORD202501022859,41,30,4.5
ORD202501007450,40,43,2.4
ORD202501008380,41,31,6.7
ORD202501002207,55,30,2.1
ORD202501011274,33,45,7.6
ORD202501005785,28,41,6.6
ORD202501004511,35,42,2.4
ORD202501010956,49,43,1.9
ORD202501018378,34,30,1.7
ORD202501009260,25,34,2.8
ORD202501019498,38,42,4.5
ORD202501021040,35,42,2.0
ORD202501006755,32,39,5.5
ORD202501004689,25,31,2.6
ORD202501021627,28,40,3.4
ORD202501010044,29,38,2.5
ORD202501013092,31,33,2.4
ORD202501004107,55,43,3.0
ORD202501002550,30,43,3.6
ORD202501007817,42,37,4.6
ORD202501016778,53,39,7.1
ORD202501009928,38,35,3.8
ORD202501003271,46,34,5.4
ORD202501023639,36,39,5.6
ORD202501002838,38,32,7.8
ORD202501000678,38,37,4.7
ORD202501010154,37,31,1.7
ORD202501012000,35,33,7.0
ORD202501022091,43,32,2.7
ORD202501008622,41,38,2.9
ORD202501018412,42,40,2.6
ORD202501019170,40,45,3.5
ORD202501014685,34,38,6.6
ORD202501006314,39,38,1.3
ORD202501004051,55,30,6.9
ORD202501007932,43,40,1.5
ORD202501001202,33,39,1.3
ORD202501016051,42,30,1.5
ORD202501005017,31,35,4.1
ORD202501024788,42,31,5.4
ORD202501013517,43,43,6.3
ORD202501018916,47,41,1.6
ORD202501011874,43,31,7.5
ORD202501013738,36,33,6.4
ORD202501012453,42,45,5.4
ORD202501018670,37,40,5.5
ORD202501022551,39,40,1.1
ORD202501009099,41,43,4.6
ORD202501024112,51,38,1.5
ORD202501019554,38,43,2.3
ORD202501006540,41,37,2.6
ORD202501003256,37,33,6.3
ORD202501006422,25,34,3.2
ORD202501020172,53,32,7.2
ORD202501008574,27,36,6.8
ORD202501012804,37,38,5.1
ORD202501024585,39,35,2.6
ORD202501006489,37,32,4.2
ORD202501013923,50,40,7.9
ORD202501003140,53,40,3.5
ORD202501008567,49,44,6.4
ORD202501023409,53,37,4.9
ORD202501004825,43,38,1.6
ORD202501009797,37,33,7.4
ORD202501022207,40,42,4.0
ORD202501020855,47,31,5.8
ORD202501008555,30,34,7.2
ORD202501005990,38,39,2.3
ORD202501012657,49,41,5.8
ORD202501002025,54,40,3.0
ORD202501021445,45,31,4.8
ORD202501006632,39,38,3.9
ORD202501009175,30,44,6.8
ORD202501018218,52,32,5.5
ORD202501015270,45,42,1.4
ORD202501016067,31,45,5.7
ORD202501004816,40,42,3.9
ORD202501007785,34,41,1.3
ORD202501024935,42,39,4.4
ORD202501008376,44,32,6.9
ORD202501006097,25,39,3.9
ORD202501007681,40,40,2.4
ORD202501004704,43,38,6.3
ORD202501023030,25,38,2.6
ORD202501012450,35,37,4.7
ORD202501005986,27,43,5.1
ORD202501014267,51,31,7.4
ORD202501024583,46,37,4.1
ORD202501007316,35,40,4.2
ORD202501024267,48,33,7.8
ORD202501018738,41,40,6.4
ORD202501007283,42,43,4.4
ORD202501000850,33,42,4.4
ORD202501012083,38,38,5.4
ORD202501005306,43,35,2.2
ORD202501001451,31,31,4.6
ORD202501008173,38,44,5.6
ORD202501000011,34,32,1.9
ORD202501003388,33,41,2.7
ORD202501006934,46,35,2.4
ORD202501022974,40,42,3.7
ORD202501010172,46,40,5.1
ORD202501003927,46,45,6.6
ORD202501005623,55,36,7.2
ORD202501003608,38,31,2.6
ORD202501008401,52,31,2.5
ORD202501013919,36,31,4.4
ORD202501000656,50,38,6.0
ORD202501003334,27,30,7.0
ORD202501002676,27,36,1.9
ORD202501020295,33,34,2.0
ORD202501024283,44,30,6.2
ORD202501014349,42,34,8.0
ORD202501009838,25,38,4.4
ORD202501020806,40,31,5.9
ORD202501010425,43,40,3.7
ORD202501004188,45,34,1.4
ORD202501020429,34,40,5.5
ORD202501021138,41,45,6.5
ORD202501010306,41,39,4.6
ORD202501009885,44,31,3.9
ORD202501011823,38,33,3.2
ORD202501010461,41,33,7.2
ORD202501019905,36,42,6.8
ORD202501010285,44,33,6.9
ORD202501024363,39,44,5.1
ORD202501015266,46,30,3.5
ORD202501016808,29,43,7.0
ORD202501015798,28,39,1.4
ORD202501003871,34,34,2.0
ORD202501016222,45,43,2.8
ORD202501011680,41,45,6.4
ORD202501014402,48,44,6.2
ORD202501001326,39,43,1.8
ORD202501005856,50,43,3.7
ORD202501011630,33,38,1.4
ORD202501000147,35,40,1.6
ORD202501019319,32,43,1.0
ORD202501005791,37,41,3.4
ORD202501019570,53,31,4.5
ORD202501003995,28,41,7.4
ORD202501001003,31,38,4.9
ORD202501003925,43,30,7.1
ORD202501001695,25,33,4.5
ORD202501011296,47,44,2.8
ORD202501000554,35,35,3.4
ORD202501005243,31,31,4.6
ORD202501019167,43,39,6.6
ORD202501005476,38,37,6.2
ORD202501014201,42,43,4.5
ORD202501006178,50,39,2.9
ORD202501007406,28,38,1.9
ORD202501018333,48,34,4.4
ORD202501005517,48,34,4.6
ORD202501005584,43,40,6.0
ORD202501017439,42,37,5.8
ORD202501003594,55,38,5.5
ORD202501011261,40,32,3.8
ORD202501014248,41,31,1.7
ORD202501008473,33,31,6.5
ORD202501024639,42,34,5.6
ORD202501014882,42,36,5.5
ORD202501011415,33,40,5.5
ORD202501005890,25,43,7.8
ORD202501009013,31,33,1.5
ORD202501002206,37,44,4.0
ORD202501018323,55,30,7.9
ORD202501003073,32,32,1.9
ORD202501001993,42,33,2.0
ORD202501020821,37,39,1.5
ORD202501001425,41,41,4.0
ORD202501013037,37,39,1.2
ORD202501011115,48,35,2.5
ORD202501007260,40,33,1.6
ORD202501010071,55,36,5.4
ORD202501015840,51,45,6.1
ORD202501010282,40,38,4.2
ORD202501018769,39,32,2.6
ORD202501023474,38,44,1.3
ORD202501004790,43,34,7.8
ORD202501015434,33,42,2.3
ORD202501024694,44,36,2.1
ORD202501004248,45,37,7.3
ORD202501002575,42,43,5.0
ORD202501009603,37,43,6.6
ORD202501014701,37,39,3.7
ORD202501007582,47,35,5.3
ORD202501004119,37,31,2.9
ORD202501016775,25,41,7.8
ORD202501003894,50,41,3.5
ORD202501009241,47,43,2.8
ORD202501000165,27,33,1.9
ORD202501018538,25,39,3.8
ORD202501015232,55,38,1.4
ORD202501015694,43,45,3.4
ORD202501007215,43,36,2.4
ORD202501022778,27,34,5.3
ORD202501024197,40,42,5.0
ORD202501021102,39,36,7.2
ORD202501005347,42,40,3.8
ORD202501023387,45,33,2.8
ORD202501017952,47,41,4.1
ORD202501023504,53,32,3.7
ORD202501024075,32,45,7.2
ORD202501013499,50,38,1.0
ORD202501013237,51,40,3.3
ORD202501023453,36,32,7.0
ORD202501000920,41,35,2.6
ORD202501012170,42,31,5.3
ORD202501012501,37,37,4.8
ORD202501000070,32,37,1.7
ORD202501003432,43,33,3.6
ORD202501001871,27,44,4.1
ORD202501008348,35,33,5.7
ORD202501001197,49,34,2.6
ORD202501020974,33,41,4.7
ORD202501009381,26,37,7.2
ORD202501003534,41,43,3.1
ORD202501004004,38,43,4.0
ORD202501012532,38,36,4.8
ORD202501001462,41,40,3.4
ORD202501006886,45,41,4.0
ORD202501011894,45,35,6.1
ORD202501013377,44,44,5.5
ORD202501010780,42,43,2.7
ORD202501001886,39,41,3.5
ORD202501008513,37,43,6.4
ORD202501014616,31,34,2.1
ORD202501000290,30,39,6.1
ORD202501013750,35,39,6.8
ORD202501005455,32,37,2.6
ORD202501008750,42,30,7.4
ORD202501001053,40,36,4.6
ORD202501006533,47,36,7.0
ORD202501022375,45,32,2.2
ORD202501010283,34,34,5.4
ORD202501004163,44,30,5.4
ORD202501018420,28,36,4.5
ORD202501008483,39,34,1.8
ORD202501016983,32,36,5.5
ORD202501019879,41,34,4.0
ORD202501010967,50,41,6.8
ORD202501021834,49,45,5.4
ORD202501007018,42,45,7.7
ORD202501000444,25,42,6.3
ORD202501010126,37,34,1.4
ORD202501024454,31,45,5.5
ORD202501013804,55,31,6.9
ORD202501021381,30,31,4.0
ORD202501021945,41,40,3.4
ORD202501021725,52,38,6.1
ORD202501007217,41,31,1.1
ORD202501006917,54,45,1.3
ORD202501004771,36,45,7.7
ORD202501003613,26,41,6.2
ORD202501007499,36,34,2.7
ORD202501024820,35,30,6.5
ORD202501018661,41,44,4.9
ORD202501016043,25,45,4.1
ORD202501011095,35,33,2.4
ORD202501012199,50,36,2.2
ORD202501014704,34,33,2.7
ORD202501017084,44,38,2.0
ORD202501006236,43,37,2.4
ORD202501014820,26,43,5.1
ORD202501006504,31,45,2.5
ORD202501015214,41,30,7.4
ORD202501024131,43,42,3.8
ORD202501014623,33,41,6.6
ORD202501020540,45,41,1.3
ORD202501015500,41,41,3.3
ORD202501011464,51,44,3.2
ORD202501014888,36,33,5.5
ORD202501011273,42,37,2.4
ORD202501018510,35,30,4.1
ORD202501020880,35,38,1.6
ORD202501003408,36,30,2.3
ORD202501018828,31,39,4.6
ORD202501000976,25,40,1.0
ORD202501006940,55,38,4.3
ORD202501015732,36,35,5.7
ORD202501022786,37,41,6.1
ORD202501017529,37,39,6.8
ORD202501008967,31,38,7.5
ORD202501017474,44,44,2.9
ORD202501019535,28,40,5.1
ORD202501006634,45,35,6.1
ORD202501004558,41,38,3.9
ORD202501018058,37,45,6.4
ORD202501013716,44,38,5.6
ORD202501010887,26,32,4.4
ORD202501007138,36,30,1.9
ORD202501022831,54,36,4.8
ORD202501004603,53,35,7.4
ORD202501009127,31,32,1.6
ORD202501000956,42,35,2.2
ORD202501014119,33,33,6.9
ORD202501019702,49,45,4.9
ORD202501023202,37,40,4.7
ORD202501000174,39,44,5.6
ORD202501007567,32,45,7.4
ORD202501015033,39,45,2.4
ORD202501021422,26,34,6.1
ORD202501018053,43,38,6.2
ORD202501015111,35,35,7.5
ORD202501014774,46,45,6.4
ORD202501001127,42,41,5.3
ORD202501004914,29,30,5.0
ORD202501009383,46,34,6.8
ORD202501001816,55,32,7.4
ORD202501005819,43,32,2.5
ORD202501006561,38,34,2.7
ORD202501016694,46,42,1.3
ORD202501014510,50,43,1.8
ORD202501008356,35,37,1.9
ORD202501021003,35,34,6.5
ORD202501024578,36,43,5.3
ORD202501020086,46,37,7.7
ORD202501017897,51,32,5.6
ORD202501014053,36,36,1.7
ORD202501009642,42,40,1.0
ORD202501008292,47,44,7.4
ORD202501009262,25,36,7.1
ORD202501008635,33,41,1.0
ORD202501010001,25,31,7.9
ORD202501008095,32,39,2.2
ORD202501012049,38,31,1.6
ORD202501002697,38,42,5.8
ORD202501019658,31,35,6.4
ORD202501014374,48,40,3.6
ORD202501013840,32,36,7.0
ORD202501009524,44,37,3.0
ORD202501007313,38,33,3.2
ORD202501010241,39,33,5.1
ORD202501001239,45,36,4.3
ORD202501013926,39,36,7.0
ORD202501020655,38,43,1.5
ORD202501010199,27,34,1.4
ORD202501004796,45,37,7.1
ORD202501001392,31,38,4.3
ORD202501016769,39,42,6.6
ORD202501002002,25,33,3.6
ORD202501010382,28,35,2.5
ORD202501014738,51,43,4.8
ORD202501017675,42,40,1.0
ORD202501009592,30,33,5.9
ORD202501024200,31,44,3.9
ORD202501006494,40,43,1.0
ORD202501017946,44,41,5.5
ORD202501023177,42,35,6.2
ORD202501018062,41,32,6.0
ORD202501013662,46,44,6.0
ORD202501017003,27,33,3.9
ORD202501002256,48,41,7.4
ORD202501002568,49,39,2.3
ORD202501022009,25,33,2.8
ORD202501001691,40,39,1.6
ORD202501011574,54,34,1.5
ORD202501011640,44,43,2.0
ORD202501022096,32,44,4.1
ORD202501022799,40,42,3.3
ORD202501006501,31,33,5.9
ORD202501019091,55,44,5.5
ORD202501018595,49,44,5.4
ORD202501018487,32,45,5.5
ORD202501008958,45,32,2.4
ORD202501023325,43,35,3.8
ORD202501015749,45,34,5.3
ORD202501002308,45,33,4.8
ORD202501000785,42,43,2.8
ORD202501012546,25,31,1.3
ORD202501024453,35,36,1.0
ORD202501020532,29,30,1.3
ORD202501015409,53,43,4.6
ORD202501012646,50,41,4.6
ORD202501005290,50,31,4.8
ORD202501008063,40,44,1.6
ORD202501022933,31,42,2.3
ORD202501002983,43,32,3.8
ORD202501020877,29,42,1.9
ORD202501008152,39,38,1.3
ORD202501002547,54,44,2.4
ORD202501016758,47,30,5.1
ORD202501011077,41,36,1.4
ORD202501020701,40,32,7.0
ORD202501003294,31,36,1.8
ORD202501019047,38,38,4.2
ORD202501011773,29,41,4.2
ORD202501007800,44,30,1.1
ORD202501007851,25,35,4.7
ORD202501016500,39,40,7.4
ORD202501022980,48,30,6.7
ORD202501014735,48,39,7.3
ORD202501022368,33,43,1.7
ORD202501024038,31,34,6.2
ORD202501022300,43,38,5.1
ORD202501001956,50,36,6.1
ORD202501023766,38,42,2.8
ORD202501017836,30,39,6.4
ORD202501011327,41,32,2.7
ORD202501020784,38,36,4.1
ORD202501007067,42,30,4.8
ORD202501006930,35,42,5.2
ORD202501012275,42,45,6.9
ORD202501002907,36,31,8.0
ORD202501007468,42,32,4.5
ORD202501016969,30,40,5.0
ORD202501016186,51,34,4.7
ORD202501020725,30,32,4.1
ORD202501003751,25,35,3.1
ORD202501009604,40,37,6.0
ORD202501015772,39,40,3.1
ORD202501014736,49,36,3.8
ORD202501011953,43,40,4.1
ORD202501008474,52,41,7.5
ORD202501013990,36,37,4.5
ORD202501004372,33,31,7.2
ORD202501022526,37,43,6.5
ORD202501023126,51,42,6.4
ORD202501009109,37,36,3.9
ORD202501021859,55,41,5.9
ORD202501024673,54,45,6.4
ORD202501023110,39,36,7.2
ORD202501009890,42,40,6.4
ORD202501018069,55,36,4.2
ORD202501017763,34,39,6.1
ORD202501024953,47,39,4.3
ORD202501008127,36,39,3.2
ORD202501007973,47,44,4.5
ORD202501005776,42,35,5.6
ORD202501000668,40,36,3.3
ORD202501010164,43,35,3.7
ORD202501009735,25,32,2.3
ORD202501023087,32,30,4.9
ORD202501014599,28,45,2.5
ORD202501024771,40,37,7.3
ORD202501013316,34,42,1.6
ORD202501010875,29,37,2.3
ORD202501009278,36,33,2.7
ORD202501014280,39,30,1.3
ORD202501013220,42,37,3.5
ORD202501009165,45,30,7.9
ORD202501013386,40,37,5.2
ORD202501001845,25,40,1.2
ORD202501013694,39,37,2.2
ORD202501001387,39,32,5.7
ORD202501022033,39,34,7.4
ORD202501008534,47,42,4.0
ORD202501005395,31,44,7.1
ORD202501023722,31,35,7.7
ORD202501018481,42,45,1.3
ORD202501009466,36,45,1.4
ORD202501007580,25,34,2.4
ORD202501015403,33,43,3.0
ORD202501011689,35,43,5.0
ORD202501011831,40,38,5.0
ORD202501001282,37,32,4.7
ORD202501004314,34,31,4.0
ORD202501019348,33,43,2.3
ORD202501009271,27,41,6.7
ORD202501000063,43,34,7.0
ORD202501007257,38,31,5.5
ORD202501009687,52,42,6.9
ORD202501013370,55,39,2.5
ORD202501015149,38,45,3.8
ORD202501023357,40,41,1.4
ORD202501022887,31,31,2.6
ORD202501001264,43,39,7.8
ORD202501015468,44,32,6.4
ORD202501024209,47,32,4.2
ORD202501017430,49,33,4.9
ORD202501009202,32,39,6.9
ORD202501021838,44,43,5.4
ORD202501021766,25,41,4.3
ORD202501006353,37,33,3.8
ORD202501020798,40,30,1.6
ORD202501000409,35,45,3.6
ORD202501024278,55,35,6.1
ORD202501002621,38,38,1.7
ORD202501016587,38,36,2.4
ORD202501001841,40,38,7.1
ORD202501010393,43,35,2.2
ORD202501015165,49,32,6.8
ORD202501013610,42,43,3.4
ORD202501022606,44,45,1.6
ORD202501014478,39,45,2.3
ORD202501010422,47,33,3.2
ORD202501011478,41,36,1.7
ORD202501017551,47,31,6.7
ORD202501007875,49,44,7.3
ORD202501003849,42,39,1.1
ORD202501003310,42,38,6.2
ORD202501017445,25,38,4.0
ORD202501011859,25,32,6.7
ORD202501023255,26,43,4.8
ORD202501016718,43,43,5.8
ORD202501010402,30,32,5.7
ORD202501001667,50,38,3.2
ORD202501000337,36,30,4.2
ORD202501016114,39,40,7.5
ORD202501011337,43,39,6.5
ORD202501011703,41,43,1.0
ORD202501003655,31,33,1.0
ORD202501009299,39,34,5.5
ORD202501001273,29,40,1.1
ORD202501014429,34,34,5.6
ORD202501013160,47,34,2.9
ORD202501023180,37,42,1.5
ORD202501008805,39,32,1.5
ORD202501008201,44,37,6.4
ORD202501022710,32,36,7.9
ORD202501001191,48,36,4.5
ORD202501018743,36,41,4.9
ORD202501017755,43,40,6.9
ORD202501002878,43,39,7.5
ORD202501001918,41,38,6.4
ORD202501010305,45,35,7.5
ORD202501003579,45,45,2.2
ORD202501023090,28,43,2.6
ORD202501014549,37,34,7.5
ORD202501011349,36,44,1.8
ORD202501023121,51,32,7.2
ORD202501018235,54,34,1.7
ORD202501002531,39,41,6.1
ORD202501008124,42,41,5.5
ORD202501003302,40,32,5.8
ORD202501017991,41,41,3.6
ORD202501013829,39,35,5.4
ORD202501001174,34,36,6.8
ORD202501008816,45,41,7.4
ORD202501016172,40,36,1.1
ORD202501023084,45,43,3.2
ORD202501013991,37,31,2.9
ORD202501013557,43,41,2.0
ORD202501000734,30,40,7.5
ORD202501004254,35,42,6.6
ORD202501019602,26,33,7.5
ORD202501021086,31,42,1.5
ORD202501024094,40,33,5.3
ORD202501002458,37,43,2.4
ORD202501001831,44,34,5.1
ORD202501010392,42,34,3.5
ORD202501011269,43,40,7.0
ORD202501009210,25,45,5.4
ORD202501014126,37,38,6.1
ORD202501009437,40,39,7.9
ORD202501021492,39,39,5.6
ORD202501009045,49,31,2.3
ORD202501021728,41,35,2.1
ORD202501004224,43,37,4.4
ORD202501001135,35,40,5.1
ORD202501007764,47,41,5.5
ORD202501004031,35,44,4.2
ORD202501006797,45,32,7.3
ORD202501021732,32,44,7.7
ORD202501022081,45,43,1.5
ORD202501021591,40,38,7.5
ORD202501019166,33,43,7.4
ORD202501004179,35,35,2.5
ORD202501009287,32,45,2.0
ORD202501013521,43,44,5.4
ORD202501024276,38,30,3.3
ORD202501008414,40,41,1.3
ORD202501016428,28,31,4.6
ORD202501003900,51,37,6.1
ORD202501015799,43,39,5.6
ORD202501005104,40,40,1.8
ORD202501013854,38,37,4.1
ORD202501008995,51,39,4.7
ORD202501013277,49,40,5.1
ORD202501017710,34,43,7.6
ORD202501011406,31,35,4.6
ORD202501023792,43,30,4.3
ORD202501006912,39,32,1.6
ORD202501022956,38,43,4.9
ORD202501007628,38,39,1.1
ORD202501016868,27,31,2.7
ORD202501001200,41,34,1.9
ORD202501019339,50,33,5.2
ORD202501004971,35,36,1.2
ORD202501007371,51,39,7.2
ORD202501000170,38,40,3.6
ORD202501011963,43,31,3.7
ORD202501003232,40,33,7.9
ORD202501004263,36,34,5.2
ORD202501021996,27,37,6.1
ORD202501020702,45,31,5.7
ORD202501004428,35,32,6.2
ORD202501005012,40,36,2.4
ORD202501017806,41,34,5.8
ORD202501005009,34,40,5.7
ORD202501018641,39,30,2.6
ORD202501017244,52,45,7.5
ORD202501017640,47,40,4.7
ORD202501020128,49,41,1.3
ORD202501008199,44,34,3.2
ORD202501009390,44,37,4.3
ORD202501009769,31,35,6.0
ORD202501009779,45,40,3.8
ORD202501004869,33,40,5.4
ORD202501005412,50,43,4.6
ORD202501013770,51,36,3.1
ORD202501020625,37,35,4.5
ORD202501007642,38,32,3.6
ORD202501010245,40,37,7.3
ORD202501006756,49,39,7.8
ORD202501023714,37,44,5.4
ORD202501020468,32,34,1.3
ORD202501004134,43,38,1.8
ORD202501021700,34,33,2.8
ORD202501016508,38,30,2.5
ORD202501009877,37,31,6.7
ORD202501003841,54,30,1.0
ORD202501002484,38,35,3.2
ORD202501016191,25,32,4.7
ORD202501017889,37,34,7.7
ORD202501016605,34,43,3.3
ORD202501009658,38,30,5.1
ORD202501006145,50,31,3.7
ORD202501008931,40,39,6.0
ORD202501021836,39,34,6.9
ORD202501011170,53,38,2.4
ORD202501018238,25,42,4.5
ORD202501011245,35,36,3.8
ORD202501016816,40,33,6.0
ORD202501009542,43,45,6.2
ORD202501010828,36,31,3.5
ORD202501023343,48,32,5.6
ORD202501006948,41,32,6.7
ORD202501020563,42,41,5.8
ORD202501012905,35,45,5.2
ORD202501003446,40,32,6.3
ORD202501009756,40,37,5.8
ORD202501000413,25,45,5.8
ORD202501013048,28,45,7.1
ORD202501009421,37,39,5.4
ORD202501015768,37,33,3.0
ORD202501017129,32,34,3.0
ORD202501012297,33,41,4.1
ORD202501011331,54,36,1.5
ORD202501023292,36,43,3.7
ORD202501006369,30,38,3.5
ORD202501022274,25,30,2.4
ORD202501004994,32,39,4.8
ORD202501017568,39,34,1.1
ORD202501020348,33,31,7.5
ORD202501006675,41,43,2.3
ORD202501002494,43,42,5.0
ORD202501001313,29,34,4.9
ORD202501018873,33,37,4.9
ORD202501015445,45,39,3.8
ORD202501016923,28,35,5.0
ORD202501014782,37,30,6.7
ORD202501019933,44,42,2.6
ORD202501017513,38,40,7.1
ORD202501003778,48,31,6.7
ORD202501017057,37,37,7.4
ORD202501000804,55,37,4.6
ORD202501021913,55,30,7.3
ORD202501010542,32,37,6.7
ORD202501017843,51,33,6.9
ORD202501009149,29,44,5.3
ORD202501000815,36,31,5.9
ORD202501022164,39,38,1.8
ORD202501007703,34,32,1.3
ORD202501024351,34,32,7.0
ORD202501023363,32,35,6.7
ORD202501000253,42,38,2.1
ORD202501014156,47,35,2.7
ORD202501006112,38,36,2.6
ORD202501024650,34,33,5.4
ORD202501003597,28,41,5.5
ORD202501022698,25,31,2.0
ORD202501022552,30,37,4.0
ORD202501007022,50,39,4.1
ORD202501001006,50,45,5.7
ORD202501016336,43,42,7.2
ORD202501001851,32,32,6.1
ORD202501007885,44,45,6.9
ORD202501018319,35,30,2.0
ORD202501011382,44,35,3.2
ORD202501023533,35,44,4.7
ORD202501011533,31,42,3.5
ORD202501021774,40,35,6.8
ORD202501001047,42,37,4.3
ORD202501007910,40,42,6.2
ORD202501020421,44,39,3.9
ORD202501009380,52,33,2.0
ORD202501017515,50,33,3.4
ORD202501010325,53,30,6.3
ORD202501007285,35,39,6.8
ORD202501024565,40,37,1.1
ORD202501006470,36,36,3.5
ORD202501012407,38,42,4.3
ORD202501017034,27,44,5.7
ORD202501003941,52,34,2.3
ORD202501023930,33,37,7.5
ORD202501000525,34,34,2.4
ORD202501018063,34,40,3.6
ORD202501024391,39,45,5.3
ORD202501023189,53,35,5.2
ORD202501010388,47,34,5.0
ORD202501006005,40,32,2.0
ORD202501019493,36,43,7.7
ORD202501015543,39,33,7.8
ORD202501012124,33,38,2.6
ORD202501012217,45,34,5.1
ORD202501013872,44,32,3.2
ORD202501014984,52,39,5.8
ORD202501008753,37,40,2.1
ORD202501024979,42,45,7.3
ORD202501022632,40,44,3.5
ORD202501001932,35,39,6.7
ORD202501022010,42,44,1.1
ORD202501009330,38,40,7.3
ORD202501012548,25,35,7.5
ORD202501010219,25,41,6.4
ORD202501022800,40,33,5.5
ORD202501023046,42,37,1.0
ORD202501024440,39,44,3.0
ORD202501013197,55,35,4.7
