,RESTAURANT_ID,restaurant_name,city,cuisine_type,partner_type,avg_prep_time_min,is_active
37,REST00038,Grand Grill Zone,Chennai,North Indian,Cloud Kitchen,16-25,Y
38,REST00039,Sri Express Adda,Bengaluru,North Indian,Restaurant,16-25,Y
39,REST00040,Fresh Express Hub,Chennai,Pizza,Restaurant,<=15,Y
40,REST00041,Annapurna House Darbar,Mumbai,South Indian,Restaurant,<=15,Y
41,REST00042,Urban Delights Mahal,Mumbai,Biryani,Cloud Kitchen,16-25,Y
42,REST00043,Delhi Express Clouds,Bengaluru,South Indian,Restaurant,26-40,Y
43,REST00044,Hot & Crispy Wraps Cafe,Chennai,Chinese,Restaurant,<=15,N
44,REST00045,Grand Wraps Stop,Hyderabad,Fast Food,Restaurant,16-25,Y
45,REST00046,Grand Sweets Zone,Mumbai,Chinese,Restaurant,>40,Y
46,REST00047,Annapurna Curry Corner,Pune,Biryani,Cloud Kitchen,16-25,Y
47,REST00048,Hot & Crispy Paratha Delight,Kolkata,Chinese,Restaurant,26-40,Y
48,REST00049,Spicy Paratha Heaven,Delhi,Healthy,Restaurant,16-25,N
49,REST00050,Fresh House Cafe,Pune,Chinese,Cloud Kitchen,<=15,N
50,REST00051,Punjabi House Zone,Hyderabad,Fast Food,Restaurant,<=15,Y
51,REST00052,Thindi Mane Sweets Clouds,Bengaluru,North Indian,Restaurant,26-40,Y
52,REST00053,Tandoori Express Corner,Pune,Chinese,Cloud Kitchen,16-25,Y
53,REST00054,Annapurna Cafe Central,Bengaluru,Healthy,Restaurant,26-40,Y
54,REST00055,Kolkata Biryani Corner,Chennai,North Indian,Cloud Kitchen,26-40,Y
55,REST00056,Classic Delights Zone,Chennai,Biryani,Restaurant,>40,Y
56,REST00057,Delhi Express Mahal,Mumbai,Biryani,Cloud Kitchen,16-25,Y
57,REST00058,Punjabi Thali Delight,Hyderabad,Healthy,Restaurant,<=15,Y
58,REST00059,Royal Tandoor Darbar,Mumbai,North Indian,Restaurant,>40,Y
59,REST00060,Kolkata Paratha Adda,Mumbai,Pizza,Restaurant,<=15,N
60,REST00061,Bombay Express Bhojanalay,Mumbai,Desserts,Cloud Kitchen,<=15,Y
61,REST00062,Taste of Tandoor Adda,Kolkata,Chinese,Restaurant,<=15,Y
62,REST00063,Classic Cafe Hub,Hyderabad,South Indian,Restaurant,<=15,Y
63,REST00064,Grand Biryani Hub,Mumbai,Biryani,Restaurant,<=15,Y
64,REST00065,Thindi Mane Cafe Mahal,Mumbai,Healthy,Cloud Kitchen,>40,Y
65,REST00066,Spicy Grill Delight,Delhi,Desserts,Cloud Kitchen,>40,Y
66,REST00067,Madras Grill Central,Delhi,Chinese,Cloud Kitchen,<=15,Y
67,REST00068,Royal Grill Palace,Mumbai,North Indian,Restaurant,<=15,Y
68,REST00069,Kolkata Mess Stop,Mumbai,Desserts,Restaurant,16-25,Y
69,REST00070,Flavours of Express Darbar,Chennai,Healthy,Restaurant,<=15,Y
70,REST00071,Annapurna Cafe Heaven,Mumbai,Chinese,Cloud Kitchen,16-25,N
71,REST00072,Thindi Mane Paratha Bhojanalay,Bengaluru,Pizza,Restaurant,16-25,Y
72,REST00073,Annapurna Sweets Point,Bengaluru,Chinese,Cloud Kitchen,<=15,Y
73,REST00074,Annapurna Pizza Zone,Ahmedabad,Chinese,Restaurant,26-40,Y
74,REST00075,Spicy Mess Zone,Bengaluru,Healthy,Restaurant,26-40,Y
75,REST00076,Taste of Curry Nest,Bengaluru,Biryani,Restaurant,<=15,Y
76,REST00077,Classic Mess Adda,Bengaluru,Chinese,Cloud Kitchen,26-40,Y
77,REST00078,Sri House Nest,Bengaluru,South Indian,Cloud Kitchen,26-40,Y
78,REST00079,Sri Curry Clouds,Bengaluru,Healthy,Restaurant,26-40,Y
79,REST00080,Royal Delights Heaven,Bengaluru,North Indian,Cloud Kitchen,16-25,Y
80,REST00081,Annapurna Tandoor Zone,Chennai,Desserts,Restaurant,16-25,Y
81,REST00082,Royal Kitchen Palace,Chennai,Desserts,Cloud Kitchen,16-25,N
82,REST00083,Punjabi Thali Bhojanalay,Delhi,Chinese,Restaurant,26-40,Y
83,REST00084,Madras Mess Clouds,Mumbai,North Indian,Restaurant,26-40,Y
84,REST00085,Urban Tandoor Delight,Pune,Desserts,Cloud Kitchen,26-40,Y
85,REST00086,Delhi Darshini Central,Hyderabad,Fast Food,Restaurant,16-25,Y
86,REST00087,Delhi Pizza Corner,Mumbai,South Indian,Restaurant,16-25,Y
87,REST00088,Royal Cafe Darbar,Kolkata,South Indian,Restaurant,>40,Y
88,REST00089,Punjabi Wraps Corner,Kolkata,Chinese,Restaurant,26-40,Y
89,REST00090,Bombay Tandoor Delight,Hyderabad,South Indian,Restaurant,16-25,N
90,REST00091,Tandoori Paratha Hub,Hyderabad,Fast Food,Cloud Kitchen,16-25,Y
91,REST00092,Fresh Cafe Hub,Hyderabad,Pizza,Cloud Kitchen,26-40,Y
92,REST00093,Sri Sweets Adda,Kolkata,Desserts,Cloud Kitchen,>40,Y
93,REST00094,Bombay Thali Cafe,Chennai,South Indian,Cloud Kitchen,16-25,N
94,REST00095,Taste of Curry Adda,Mumbai,Chinese,Cloud Kitchen,16-25,Y
95,REST00096,Sri Delights Point,Hyderabad,Chinese,Cloud Kitchen,16-25,N
96,REST00097,Spicy Biryani Nest,Chennai,South Indian,Cloud Kitchen,26-40,Y
97,REST00098,Madras Paratha Central,Kolkata,South Indian,Cloud Kitchen,16-25,Y
98,REST00099,Hot & Crispy Grill Cafe,Hyderabad,Healthy,Cloud Kitchen,16-25,Y
99,REST00100,Sri Thali Mahal,Delhi,Healthy,Cloud Kitchen,<=15,Y
100,REST00101,Royal Biryani Corner,Hyderabad,North Indian,Restaurant,<=15,Y
101,REST00102,Madras Thali Mahal,Bengaluru,North Indian,Restaurant,26-40,Y
102,REST00103,Thindi Mane Tandoor Darbar,Bengaluru,Pizza,Restaurant,26-40,Y
103,REST00104,Sri Grill Darbar,Kolkata,Desserts,Restaurant,>40,Y
104,REST00105,Grand Biryani Hub,Delhi,Pizza,Restaurant,16-25,Y
105,REST00106,Urban Curry Adda,Chennai,Chinese,Restaurant,<=15,Y
106,REST00107,Urban Tandoor Hub,Ahmedabad,Fast Food,Cloud Kitchen,16-25,Y
107,REST00108,Hot & Crispy Tandoor Mahal,Hyderabad,South Indian,Restaurant,16-25,Y
108,REST00109,Tandoori Biryani Adda,Delhi,North Indian,Restaurant,>40,Y
109,REST00110,Royal Biryani Adda,Hyderabad,Biryani,Cloud Kitchen,<=15,N
110,REST00111,Sri Cafe Darbar,Hyderabad,Desserts,Restaurant,26-40,Y
111,REST00112,Punjabi Kitchen Corner,Hyderabad,Pizza,Restaurant,<=15,N
112,REST00113,Bombay Delights Adda,Hyderabad,North Indian,Cloud Kitchen,16-25,Y
113,REST00114,Punjabi Grill Point,Ahmedabad,Chinese,Cloud Kitchen,<=15,Y
114,REST00115,Taste of Pizza Point,Mumbai,South Indian,Restaurant,16-25,Y
115,REST00116,Urban Cafe Hub,Bengaluru,Chinese,Cloud Kitchen,16-25,Y
116,REST00117,Royal Thali Hub,Delhi,North Indian,Restaurant,16-25,Y
117,REST00118,Madras Mess Palace,Chennai,Fast Food,Cloud Kitchen,26-40,Y
118,REST00119,Annapurna Biryani Cafe,Mumbai,Pizza,Restaurant,16-25,Y
119,REST00120,Annapurna Wraps Hub,Delhi,South Indian,Restaurant,16-25,Y
120,REST00121,Kolkata Grill Darbar,Delhi,South Indian,Restaurant,26-40,Y
121,REST00122,Madras Grill Zone,Hyderabad,Biryani,Restaurant,26-40,Y
122,REST00123,Punjabi Mess Heaven,Pune,Chinese,Cloud Kitchen,<=15,Y
123,REST00124,Hot & Crispy Mess Palace,Hyderabad,Pizza,Cloud Kitchen,<=15,N
124,REST00125,Classic Thali Hub,Bengaluru,South Indian,Restaurant,>40,Y
125,REST00126,Spicy Express Point,Hyderabad,Fast Food,Restaurant,26-40,Y
126,REST00127,Kolkata Wraps Stop,Mumbai,Pizza,Restaurant,16-25,Y
127,REST00128,Delhi Tandoor Central,Hyderabad,North Indian,Restaurant,26-40,Y
128,REST00129,Madras Express Clouds,Bengaluru,Biryani,Cloud Kitchen,>40,Y
129,REST00130,Flavours of Thali Nest,Bengaluru,South Indian,Restaurant,26-40,Y
130,REST00131,Hot & Crispy Pizza Hub,Pune,South Indian,Restaurant,16-25,Y
131,REST00132,Kolkata Thali Central,Bengaluru,Pizza,Cloud Kitchen,<=15,Y
132,REST00133,Madras Cafe Corner,Mumbai,Biryani,Restaurant,<=15,Y
133,REST00134,Grand Biryani Palace,Bengaluru,Chinese,Restaurant,16-25,Y
134,REST00135,Thindi Mane Wraps Cafe,Pune,Pizza,Cloud Kitchen,26-40,Y
135,REST00136,Fresh Grill Darbar,Pune,Biryani,Restaurant,16-25,Y
136,REST00137,Spicy Mess Bhojanalay,Bengaluru,North Indian,Cloud Kitchen,26-40,Y
137,REST00138,Classic Darshini Adda,Kolkata,Biryani,Restaurant,26-40,Y
138,REST00139,Madras Curry Nest,Pune,North Indian,Restaurant,<=15,Y
139,REST00140,Punjabi House Stop,Delhi,Pizza,Restaurant,26-40,Y
140,REST00141,Sri Kitchen Corner,Hyderabad,North Indian,Restaurant,>40,Y
141,REST00142,Delhi Tandoor Delight,Mumbai,Fast Food,Cloud Kitchen,16-25,Y
142,REST00143,Madras Darshini Stop,Delhi,Fast Food,Restaurant,26-40,Y
143,REST00144,Taste of Biryani Palace,Ahmedabad,Healthy,Restaurant,16-25,Y
144,REST00145,Urban Curry Corner,Bengaluru,Fast Food,Cloud Kitchen,<=15,Y
145,REST00146,Hot & Crispy House Hub,Mumbai,Pizza,Restaurant,26-40,Y
146,REST00147,Delhi Darshini Mahal,Pune,South Indian,Restaurant,26-40,N
147,REST00148,Sri Cafe Heaven,Hyderabad,North Indian,Restaurant,16-25,Y
148,REST00149,Royal Biryani Delight,Delhi,South Indian,Cloud Kitchen,>40,Y
149,REST00150,Spicy Grill Point,Bengaluru,Biryani,Cloud Kitchen,16-25,Y
150,REST00151,Royal Thali Hub,Bengaluru,Pizza,Restaurant,16-25,Y
151,REST00152,Grand Pizza Heaven,Pune,Fast Food,Cloud Kitchen,<=15,Y
152,REST00153,Classic Biryani Corner,Chennai,Fast Food,Restaurant,<=15,N
153,REST00154,Bombay Darshini Hub,Bengaluru,Pizza,Cloud Kitchen,16-25,Y
154,REST00155,Hot & Crispy Sweets Nest,Mumbai,Chinese,Restaurant,<=15,Y
155,REST00156,Bombay Tandoor Heaven,Bengaluru,Chinese,Restaurant,26-40,Y
156,REST00157,Sri Kitchen Zone,Kolkata,Fast Food,Restaurant,16-25,Y
157,REST00158,Grand Darshini Zone,Chennai,Fast Food,Restaurant,16-25,Y
158,REST00159,Classic Curry Delight,Pune,South Indian,Restaurant,<=15,Y
159,REST00160,Fresh Curry Heaven,Pune,South Indian,Cloud Kitchen,16-25,Y
160,REST00161,Fresh Tandoor Clouds,Chennai,Chinese,Restaurant,26-40,Y
161,REST00162,Urban Grill Adda,Delhi,South Indian,Restaurant,<=15,Y
162,REST00163,Annapurna Paratha Mahal,Hyderabad,North Indian,Cloud Kitchen,16-25,N
163,REST00164,Tandoori Darshini Hub,Mumbai,South Indian,Restaurant,<=15,Y
164,REST00165,Annapurna Delights Mahal,Pune,Pizza,Restaurant,16-25,Y
165,REST00166,Hot & Crispy Paratha Cafe,Hyderabad,Desserts,Restaurant,26-40,Y
166,REST00167,Kolkata Wraps Heaven,Bengaluru,Biryani,Restaurant,<=15,Y
167,REST00168,Punjabi Sweets Darbar,Bengaluru,Healthy,Restaurant,>40,Y
168,REST00169,Kolkata Pizza Point,Mumbai,Healthy,Restaurant,16-25,Y
169,REST00170,Namma Cafe Mahal,Delhi,Desserts,Restaurant,<=15,Y
170,REST00171,Hot & Crispy Grill Mahal,Pune,South Indian,Restaurant,16-25,Y
171,REST00172,Kolkata Express Stop,Delhi,Pizza,Restaurant,16-25,Y
172,REST00173,Delhi Delights Bhojanalay,Ahmedabad,Fast Food,Restaurant,16-25,Y
173,REST00174,Kolkata Darshini Corner,Ahmedabad,Chinese,Restaurant,16-25,Y
174,REST00175,Spicy Sweets Stop,Bengaluru,Healthy,Cloud Kitchen,16-25,Y
175,REST00176,Annapurna Darshini Adda,Hyderabad,Desserts,Restaurant,16-25,N
176,REST00177,Namma Paratha Corner,Bengaluru,Desserts,Restaurant,26-40,Y
177,REST00178,Kolkata Darshini Hub,Mumbai,Pizza,Restaurant,<=15,N
178,REST00179,Taste of Mess Hub,Pune,Biryani,Restaurant,16-25,N
179,REST00180,Kolkata Biryani Clouds,Bengaluru,Desserts,Restaurant,<=15,Y
180,REST00181,Grand Grill Stop,Chennai,Healthy,Restaurant,<=15,Y
181,REST00182,Grand Curry Adda,Hyderabad,Chinese,Restaurant,16-25,Y
182,REST00183,Delhi Delights Stop,Delhi,Biryani,Restaurant,16-25,Y
183,REST00184,Hot & Crispy Biryani Palace,Chennai,North Indian,Cloud Kitchen,<=15,Y
184,REST00185,Kolkata Sweets Hub,Hyderabad,Desserts,Restaurant,16-25,Y
185,REST00186,Flavours of Paratha Hub,Chennai,Healthy,Restaurant,<=15,N
186,REST00187,Namma Delights Delight,Mumbai,Pizza,Restaurant,<=15,Y
187,REST00188,Bombay Darshini Point,Delhi,Chinese,Restaurant,26-40,Y
188,REST00189,Bombay Darshini Zone,Bengaluru,Chinese,Restaurant,16-25,Y
189,REST00190,Tandoori Pizza Clouds,Hyderabad,South Indian,Restaurant,<=15,Y
190,REST00191,Bombay House Zone,Bengaluru,Pizza,Cloud Kitchen,26-40,Y
191,REST00192,Sri Sweets Mahal,Delhi,Pizza,Restaurant,26-40,Y
192,REST00193,Urban Curry Heaven,Pune,North Indian,Cloud Kitchen,16-25,Y
193,REST00194,Punjabi Sweets Hub,Delhi,North Indian,Restaurant,<=15,Y
194,REST00195,Taste of House Zone,Delhi,Chinese,Restaurant,26-40,Y
195,REST00196,Sri Grill Zone,Kolkata,Healthy,Restaurant,16-25,N
196,REST00197,Annapurna Biryani Heaven,Ahmedabad,Biryani,Restaurant,26-40,Y
197,REST00198,Urban Paratha Adda,Bengaluru,Chinese,Restaurant,16-25,Y
198,REST00199,Taste of Curry Palace,Kolkata,North Indian,Cloud Kitchen,16-25,Y
199,REST00200,Urban Express Corner,Bengaluru,North Indian,Cloud Kitchen,<=15,Y
200,REST00201,Spicy Express Mahal,Delhi,North Indian,Cloud Kitchen,<=15,Y
201,REST00202,Sri Mess Zone,Bengaluru,Desserts,Cloud Kitchen,<=15,Y
202,REST00203,Taste of Darshini Cafe,Hyderabad,Chinese,Cloud Kitchen,16-25,Y
203,REST00204,Punjabi Curry Adda,Mumbai,North Indian,Cloud Kitchen,26-40,Y
204,REST00205,Grand Sweets Corner,Hyderabad,South Indian,Restaurant,<=15,Y
205,REST00206,Namma Darshini Mahal,Hyderabad,Biryani,Restaurant,16-25,Y
206,REST00207,Fresh Sweets Nest,Hyderabad,Fast Food,Restaurant,26-40,Y
207,REST00208,Delhi Cafe Cafe,Mumbai,Pizza,Cloud Kitchen,<=15,Y
208,REST00209,Flavours of Biryani Point,Mumbai,North Indian,Cloud Kitchen,<=15,N
209,REST00210,Hot & Crispy Kitchen Point,Bengaluru,Pizza,Cloud Kitchen,16-25,Y
210,REST00211,Urban Biryani Delight,Hyderabad,Biryani,Restaurant,26-40,N
211,REST00212,Delhi Biryani Zone,Chennai,North Indian,Restaurant,<=15,Y
212,REST00213,Taste of Thali Zone,Mumbai,North Indian,Restaurant,16-25,Y
213,REST00214,Fresh Sweets Mahal,Mumbai,Healthy,Cloud Kitchen,<=15,Y
214,REST00215,Taste of Grill Darbar,Kolkata,Chinese,Restaurant,<=15,Y
215,REST00216,Flavours of Tandoor Hub,Ahmedabad,North Indian,Cloud Kitchen,16-25,Y
216,REST00217,Thindi Mane Darshini Bhojanalay,Hyderabad,North Indian,Restaurant,<=15,Y
217,REST00218,Urban Sweets Palace,Bengaluru,Healthy,Restaurant,26-40,Y
218,REST00219,Taste of Sweets Corner,Hyderabad,North Indian,Restaurant,<=15,Y
219,REST00220,Royal Biryani Palace,Delhi,Pizza,Restaurant,26-40,Y
220,REST00221,Grand House Darbar,Delhi,South Indian,Restaurant,16-25,Y
221,REST00222,Punjabi Paratha Bhojanalay,Mumbai,Chinese,Restaurant,>40,Y
222,REST00223,Urban Darshini Darbar,Hyderabad,North Indian,Restaurant,26-40,Y
223,REST00224,Flavours of Pizza Corner,Chennai,Desserts,Restaurant,16-25,Y
224,REST00225,Namma Wraps Zone,Hyderabad,Desserts,Restaurant,26-40,Y
225,REST00226,Hot & Crispy Tandoor Stop,Delhi,North Indian,Restaurant,16-25,N
226,REST00227,Tandoori Pizza Central,Pune,Chinese,Restaurant,16-25,Y
227,REST00228,Spicy Wraps Adda,Mumbai,Healthy,Restaurant,>40,Y
228,REST00229,Madras Grill Hub,Kolkata,North Indian,Restaurant,<=15,Y
229,REST00230,Grand Sweets Central,Delhi,North Indian,Restaurant,26-40,N
230,REST00231,Madras Wraps Zone,Ahmedabad,Desserts,Restaurant,<=15,N
231,REST00232,Annapurna Paratha Nest,Hyderabad,Biryani,Restaurant,>40,Y
232,REST00233,Delhi Darshini Darbar,Delhi,South Indian,Restaurant,16-25,Y
233,REST00234,Royal House Clouds,Bengaluru,Healthy,Cloud Kitchen,>40,Y
234,REST00235,Sri Thali Darbar,Ahmedabad,Biryani,Restaurant,16-25,Y
235,REST00236,Royal Tandoor Darbar,Mumbai,Biryani,Restaurant,<=15,Y
236,REST00237,Annapurna Express Bhojanalay,Bengaluru,Fast Food,Restaurant,16-25,Y
237,REST00238,Flavours of Biryani Palace,Bengaluru,North Indian,Restaurant,<=15,Y
238,REST00239,Thindi Mane Delights Heaven,Kolkata,Biryani,Cloud Kitchen,16-25,N
239,REST00240,Kolkata Kitchen Nest,Mumbai,North Indian,Cloud Kitchen,26-40,Y
240,REST00241,Madras Darshini Corner,Bengaluru,South Indian,Restaurant,<=15,Y
241,REST00242,Urban Thali Mahal,Delhi,South Indian,Cloud Kitchen,16-25,Y
242,REST00243,Urban House Stop,Kolkata,Chinese,Cloud Kitchen,16-25,Y
243,REST00244,Sri Grill Bhojanalay,Ahmedabad,Desserts,Restaurant,<=15,Y
244,REST00245,Delhi Kitchen Point,Bengaluru,Biryani,Restaurant,<=15,Y
245,REST00246,Annapurna Pizza Stop,Kolkata,South Indian,Restaurant,<=15,Y
246,REST00247,Flavours of Cafe Delight,Delhi,Biryani,Restaurant,16-25,Y
247,REST00248,Annapurna House Central,Pune,North Indian,Restaurant,16-25,Y
248,REST00249,Classic Cafe Heaven,Kolkata,North Indian,Restaurant,16-25,Y
249,REST00250,Madras House Darbar,Bengaluru,Fast Food,Restaurant,<=15,Y
250,REST00251,Punjabi Thali Delight,Ahmedabad,Biryani,Restaurant,16-25,Y
251,REST00252,Royal Wraps Adda,Mumbai,South Indian,Cloud Kitchen,<=15,Y
252,REST00253,Hot & Crispy Cafe Zone,Mumbai,Biryani,Cloud Kitchen,16-25,Y
253,REST00254,Thindi Mane Pizza Stop,Bengaluru,North Indian,Cloud Kitchen,16-25,N
254,REST00255,Namma Tandoor Darbar,Delhi,Fast Food,Restaurant,16-25,Y
255,REST00256,Spicy Paratha Mahal,Bengaluru,Biryani,Cloud Kitchen,<=15,Y
256,REST00257,Taste of Sweets Clouds,Bengaluru,Desserts,Cloud Kitchen,16-25,Y
257,REST00258,Annapurna Kitchen Point,Bengaluru,Fast Food,Cloud Kitchen,>40,Y
258,REST00259,Namma Grill Adda,Hyderabad,Biryani,Restaurant,16-25,Y
259,REST00260,Royal Sweets Cafe,Bengaluru,South Indian,Cloud Kitchen,16-25,Y
260,REST00261,Royal Curry Nest,Chennai,Desserts,Restaurant,16-25,Y
261,REST00262,Spicy Curry Palace,Kolkata,South Indian,Cloud Kitchen,<=15,Y
262,REST00263,Punjabi Paratha Delight,Chennai,Pizza,Cloud Kitchen,16-25,N
263,REST00264,Classic Darshini Palace,Bengaluru,North Indian,Restaurant,>40,Y
264,REST00265,Delhi Paratha Zone,Bengaluru,Biryani,Restaurant,<=15,Y
265,REST00266,Sri Biryani Cafe,Mumbai,North Indian,Restaurant,26-40,Y
266,REST00267,Spicy Sweets Adda,Kolkata,South Indian,Restaurant,<=15,Y
267,REST00268,Thindi Mane Express Heaven,Delhi,Pizza,Restaurant,16-25,Y
268,REST00269,Delhi Cafe Mahal,Pune,Chinese,Restaurant,26-40,Y
269,REST00270,Sri Pizza Darbar,Mumbai,North Indian,Restaurant,<=15,Y
270,REST00271,Madras Kitchen Zone,Hyderabad,North Indian,Restaurant,26-40,Y
271,REST00272,Fresh Kitchen Heaven,Kolkata,Fast Food,Cloud Kitchen,<=15,Y
272,REST00273,Taste of Sweets Corner,Bengaluru,Pizza,Restaurant,26-40,N
273,REST00274,Royal Cafe Adda,Bengaluru,Fast Food,Restaurant,26-40,Y
274,REST00275,Delhi Cafe Point,Hyderabad,North Indian,Cloud Kitchen,16-25,Y
275,REST00276,Bombay Wraps Stop,Delhi,Desserts,Restaurant,16-25,Y
276,REST00277,Delhi House Palace,Delhi,North Indian,Restaurant,26-40,Y
277,REST00278,Fresh Thali Adda,Hyderabad,Biryani,Restaurant,26-40,Y
278,REST00279,Annapurna Kitchen Delight,Bengaluru,South Indian,Restaurant,>40,Y
279,REST00280,Fresh House Delight,Delhi,Fast Food,Cloud Kitchen,16-25,Y
280,REST00281,Flavours of Biryani Adda,Hyderabad,Healthy,Restaurant,26-40,Y
281,REST00282,Bombay House Darbar,Chennai,North Indian,Cloud Kitchen,16-25,Y
282,REST00283,Delhi Grill Corner,Kolkata,Pizza,Cloud Kitchen,26-40,Y
283,REST00284,Tandoori Curry Point,Bengaluru,Chinese,Restaurant,<=15,Y
284,REST00285,Bombay Grill Darbar,Chennai,Pizza,Restaurant,16-25,Y
285,REST00286,Urban Paratha Bhojanalay,Delhi,Fast Food,Cloud Kitchen,<=15,Y
286,REST00287,Delhi Cafe Bhojanalay,Bengaluru,Biryani,Restaurant,26-40,Y
287,REST00288,Classic Mess Palace,Ahmedabad,Pizza,Cloud Kitchen,26-40,Y
288,REST00289,Spicy Grill Bhojanalay,Hyderabad,Biryani,Restaurant,16-25,Y
289,REST00290,Fresh House Zone,Delhi,South Indian,Restaurant,16-25,Y
290,REST00291,Hot & Crispy Curry Palace,Chennai,Chinese,Cloud Kitchen,16-25,Y
291,REST00292,Taste of Darshini Delight,Pune,Fast Food,Cloud Kitchen,16-25,Y
292,REST00293,Namma Kitchen Bhojanalay,Ahmedabad,South Indian,Restaurant,16-25,Y
293,REST00294,Kolkata Delights Delight,Chennai,Fast Food,Restaurant,<=15,Y
294,REST00295,Hot & Crispy Wraps Cafe,Bengaluru,South Indian,Restaurant,26-40,N
295,REST00296,Grand Cafe Corner,Chennai,Chinese,Restaurant,16-25,Y
296,REST00297,Flavours of Paratha Cafe,Pune,North Indian,Cloud Kitchen,26-40,Y
297,REST00298,Sri Sweets Darbar,Chennai,Fast Food,Cloud Kitchen,<=15,Y
298,REST00299,Thindi Mane House Stop,Hyderabad,Chinese,Restaurant,>40,Y
299,REST00300,Bombay Cafe Delight,Hyderabad,Desserts,Restaurant,16-25,Y
300,REST00301,Royal Mess Point,Bengaluru,North Indian,Cloud Kitchen,<=15,Y
301,REST00302,Spicy Curry Point,Chennai,Biryani,Restaurant,26-40,Y
302,REST00303,Namma Curry Bhojanalay,Bengaluru,Desserts,Restaurant,26-40,Y
303,REST00304,Urban Mess Delight,Bengaluru,Chinese,Cloud Kitchen,16-25,Y
304,REST00305,Bombay Mess Zone,Chennai,South Indian,Restaurant,16-25,Y
305,REST00306,Hot & Crispy Mess Mahal,Bengaluru,Chinese,Restaurant,<=15,Y
306,REST00307,Kolkata Delights Clouds,Kolkata,South Indian,Cloud Kitchen,26-40,Y
307,REST00308,Bombay Tandoor Darbar,Bengaluru,North Indian,Restaurant,26-40,Y
308,REST00309,Hot & Crispy Kitchen Mahal,Hyderabad,North Indian,Restaurant,<=15,Y
309,REST00310,Delhi Wraps Cafe,Bengaluru,Chinese,Cloud Kitchen,26-40,Y
310,REST00311,Annapurna Grill Point,Pune,North Indian,Restaurant,16-25,Y
311,REST00312,Kolkata Delights Palace,Delhi,South Indian,Restaurant,26-40,Y
